Type,Name,Price,Link
restaurant,Le Coucou,['$$$'],/restaurants/new-york/le-coucou
restaurant,Roberta's,['$$'],/restaurants/brooklyn/robertas
restaurant,Buvette,['$$$'],/restaurants/new-york/buvette
shop,Mercado Little Spain,['$$'],/shops/mercado-little-spain
restaurant,The Four Horsemen,['$$$'],/restaurants/brooklyn/the-four-horsemen
restaurant,Upland,['$$'],/restaurants/new-york/upland
restaurant,Wildair,['$$'],/restaurants/new-york/wildair
restaurant,Polo Bar,['$$$'],/restaurants/new-york/polo-bar
restaurant,Le Bernardin,['$$$'],/restaurants/new-york/le-bernadin
restaurant,Agern,['$$$'],/restaurants/new-york/agern
restaurant,Olmsted,['$$$'],/restaurants/brooklyn/olmsted
restaurant,Russ & Daughters Cafe,['$'],/restaurants/new-york/russ-and-daughters
restaurant,Charlie Bird,['$$'],/restaurants/new-york/charlie-bird
restaurant,The Poni Room,,/restaurants/the-poni-room
restaurant,TAK Room,['$$$'],/restaurants/tak-room
restaurant,I Sodi,['$$$'],/restaurants/new-york/i-sodi
restaurant,Ivan Ramen,['$'],/restaurants/new-york/ivan-ramen
restaurant,Raoul's,['$$$'],/restaurants/new-york/raouls
restaurant,Quality Eats,['$$$'],/restaurants/new-york/quality-eats
restaurant,Loring Place,['$$$'],/restaurants/new-york/loring-place
restaurant,Sushi Nakazawa,['$$$'],/restaurants/new-york/sushi-nakazawa
restaurant,Raku SoHo,['$$'],/restaurants/raku-soho
restaurant,Atoboy,['$$'],/restaurants/new-york/atoboy
restaurant,Uncle Boons,['$$'],/restaurants/new-york/uncle-boons
restaurant,The Food Sermon,['$$'],/restaurants/new-york/the-food-sermon
restaurant,Kiki's,['$$'],/restaurants/kikis-new-york
restaurant,Lilia,['$$$'],/restaurants/new-york/lilia
restaurant,Tokyo Record Bar,['$$$'],/restaurants/new-york/tokyo-record-bar
restaurant,Eleven Madison Park,['$$$'],/restaurants/new-york/eleven-madison-park
restaurant,Keens Steakhouse,['$$$'],/restaurants/new-york/keens-steakouse
restaurant,Fuku,['$'],/restaurants/new-york/fuku
restaurant,Don Angie,['$$$'],/restaurants/new-york/don-angie
restaurant,Frenchette,['$$$'],/restaurants/frenchette
restaurant,Cote,['$$$'],/restaurants/cote-new-york
restaurant,Via Carota,['$$'],/restaurants/new-york/via-carota
